time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
2.29875000000000015e-09,-1.03774591536886341e-07,1.05526311207350626e-07,3.46927466244775329e-01,1.23629556872790558e-03,1.23781825439566004e-03,1.14803564618326808e-03,-5.63541019032741760e-07,5.12949482570778152e-07,1.34860080711254482e+00,9.20383175042500988e-04,9.23547440577261996e-04,1.07025830073647775e-03,3.46921100921004921e-01
2.30249999999999986e-09,-1.04152119940099475e-07,1.05869866327390805e-07,3.47830771682279494e-01,1.23686596707882172e-03,1.23839184148472493e-03,1.14826673505425379e-03,-5.64960970918420854e-07,5.13960316640358721e-07,1.35080082373408006e+00,9.21249256330539871e-04,9.24416299927706647e-04,1.07157496957677807e-03,3.47824395899453243e-01
2.30624999999999997e-09,-1.04530206421438811e-07,1.06213691120373273e-07,3.48734598108619509e-01,1.23743634304923958e-03,1.23896540383540508e-03,1.14849738487017876e-03,-5.66381033542212479e-07,5.14970843183340651e-07,1.35300084045425573e+00,9.22113775975333155e-04,9.25283589286715722e-04,1.07289029350404004e-03,3.48728211899896889e-01
2.31000000000000009e-09,-1.04908851352379754e-07,1.06557785853386152e-07,3.49638943882426279e-01,1.23800669537430723e-03,1.23953894017901113e-03,1.14872759612252807e-03,-5.67801194744681065e-07,5.15981097436763805e-07,1.35520085727287820e+00,9.22976737280773590e-04,9.26149311970538296e-04,1.07420427381079331e-03,3.49632547280958939e-01
2.31374999999999979e-09,-1.05288053700512172e-07,1.06902150312417251e-07,3.50543807368278448e-01,1.23857702279700109e-03,1.24011244925445940e-03,1.14895736932234846e-03,-5.69221440909630846e-07,5.16991080564793654e-07,1.35740087418983557e+00,9.23838143580115855e-04,9.27013471320637435e-04,1.07551691189437673e-03,3.50537400407246069e-01
2.31749999999999991e-09,-1.05667812216701332e-07,1.07246783075172891e-07,3.51449186936685198e-01,1.23914732406748412e-03,1.24068592980713021e-03,1.14918670499090199e-03,-5.70641762591397311e-07,5.18000832050546698e-07,1.35960089120504946e+00,9.24697998197355001e-04,9.27876070702853841e-04,1.07682820914053296e-03,3.51442769649306985e-01
2.32125000000000002e-09,-1.06048124134205380e-07,1.07591679988404892e-07,3.52355080964073752e-01,1.23971759794203333e-03,1.24125938058837373e-03,1.14941560364513495e-03,-5.72062124727545852e-07,5.19010420716087717e-07,1.36180090831851919e+00,9.25556304439613723e-04,9.28737113513682946e-04,1.07813816691519301e-03,3.52348653383631416e-01
2.32500000000000014e-09,-1.06428989127785051e-07,1.07936840647812569e-07,3.53261487832767118e-01,1.24028784318352221e-03,1.24183280035859494e-03,1.14964406579582453e-03,-5.73482496019712917e-07,5.20019845848302214e-07,1.36400092553014596e+00,9.26413065625249330e-04,9.29596603080502619e-04,1.07944678670041311e-03,3.53255049992551973e-01
2.32874999999999984e-09,-1.06810405211518872e-07,1.08282261803559203e-07,3.54168405930940122e-01,1.24085805856215888e-03,1.24240618788370159e-03,1.14987209197241961e-03,-5.74902855957390832e-07,5.21029113578274700e-07,1.36620094283980786e+00,9.27268285066945390e-04,9.30454542721855459e-04,1.08075406993502214e-03,3.54161957864258525e-01
2.33249999999999996e-09,-1.07192369538621223e-07,1.08627941461292167e-07,3.55075833652605644e-01,1.24142824285635388e-03,1.24297954193748812e-03,1.15009968271890758e-03,-5.76323190103535001e-07,5.22038225328589810e-07,1.36840096024738789e+00,9.28121966071347552e-04,9.31310935753701385e-04,1.08206001805108182e-03,3.55069375392787268e-01
