iteration,time_s,time_ns,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV,energy_spread_MeV
4,1.24875e-09,1.24875,-7.10039859895115e-09,6.3120429132212704e-09,0.12305590740477881,0.001077044167897205,0.0010767703428081073,0.0010611856672741655,-3.942971095600756e-08,3.591113332186544e-08,0.7345948132579784,0.0005053853803690763,0.0005028197490432085,0.0005326860965284374,0.12305818807461877,0.0001611504491495119
4,1.2525e-09,1.2525,-7.13570257066486e-09,6.344292894111668e-09,0.12372212040385604,0.0010774958217667442,0.0010772210078513905,0.0010614951355796653,-3.957820355455682e-08,3.604601369966856e-08,0.7367949245767751,0.0005064744049909549,0.0005039057378606629,0.0005339808546181847,0.1237244228889785,0.00016185589548426744
4,1.25625e-09,1.25625,-7.171102102662092e-09,6.376630186328282e-09,0.1243896240405294,0.0010779479851996986,0.0010776721804346147,0.0010618043861253452,-3.972758959963587e-08,3.618141769774241e-08,0.7389950365076856,0.0005075609317943972,0.0005049892363433352,0.0005352737732930609,0.12439194856531915,0.0001625613150456485
4,1.26e-09,1.26,-7.2065977329640925e-09,6.4090550179175814e-09,0.12505841425171577,0.001078400654003145,0.0010781238563706823,0.001062113415309755,-3.987787328279529e-08,3.6317344988050325e-08,0.7411951490513776,0.0005086449665414623,0.0005060702501747515,0.0005365648566731093,0.1250607610413425,0.00016326670093653366
4,1.26375e-09,1.26375,-7.242190001263833e-09,6.441567616098166e-09,0.12572848698358616,0.0010788538240019542,0.0010785760314902856,0.00106242221956789,-4.002905833238107e-08,3.64537960614458e-08,0.7433952622085008,0.0005097265150091457,0.0005071487850533089,0.0005378541088927366,0.12573085626399516,0.00016397204632405285
4,1.2675e-09,1.2675,-7.277879448280572e-09,6.474168206967269e-09,0.1263998381915987,0.0010793074910387902,0.0010790287016419111,0.0010627307953710282,-4.018114787249305e-08,3.6590769996264875e-08,0.7455953759796745,0.0005108055829880702,0.0005082248466932687,0.0005391415341014552,0.12640223018950125,0.00016467734443955995
4,1.27125e-09,1.27125,-7.313666615063698e-09,6.5068570148493916e-09,0.1270724638405311,0.0010797616509741054,0.0010794818626918285,0.0010630391392265632,-4.033414343944666e-08,3.672826649884435e-08,0.7477954903654951,0.0005118821762831668,0.0005092984408242487,0.0005404271364637793,0.12707487878339485,0.00016538258857844897
4,1.275e-09,1.2750000000000001,-7.349552041895612e-09,6.539634262664017e-09,0.12774635990451258,0.0010802162996861352,0.001079935510524095,0.0010633472476778367,-4.048804719045443e-08,3.6866284918209184e-08,0.7499956053665335,0.0005129563007123923,0.0005103695731895136,0.0005417109201603363,0.12774879802055206,0.00016608777210026402
4,1.27875e-09,1.27875,-7.385536269286142e-09,6.57250017201127e-09,0.12842152236705423,0.001080671433070897,0.0010803896410405479,0.0010636551173039762,-4.064286237569191e-08,3.700482536855974e-08,0.7521957209833361,0.0005140279621066005,0.0005114382495453812,0.0005429928893856345,0.12842398388522097,0.00016679288842784076
4,1.2825e-09,1.2825,-7.42161983962119e-09,6.6054549635738325e-09,0.1290979472210794,0.0010811270470421825,0.0010808442501607884,0.0010639627447197157,-4.0798593620561086e-08,3.714388761096343e-08,0.7543958372164218,0.0005150971663077544,0.0005125044756597764,0.0005442730483496365,0.1291004323710529,0.00016749793104758081
4,1.28625e-09,1.28625,-7.457803296966111e-09,6.638498856688345e-09,0.12977563046895366,0.0010815831375315453,0.0010812993338221877,0.0010642701265752366,-4.0955244480926325e-08,3.728347149957878e-08,0.7565959540662897,0.0005161639191692314,0.0005135682573145477,0.0005455514012774707,0.12977813948113168,0.00016820289350916225
4,1.2899999999999999e-09,1.2899999999999998,-7.494087186019525e-09,6.671632069815192e-09,0.13045456812251255,0.0010820397004882994,0.0010817548879798716,0.0010645772595559934,-4.1112817272058436e-08,3.7423577465947986e-08,0.7587960715334127,0.0005172282265572654,0.0005146296003045596,0.000546827952405115,0.1304571012280018,0.0001689077694239813
4,1.29375e-09,1.29375,-7.530472050950971e-09,6.704854821454358e-09,0.13113475620309087,0.001082496731879505,0.00108221090860671,0.0010648841403825353,-4.127131379788772e-08,3.7564207309601436e-08,0.760996189618239,0.0005182900943493533,0.0005156885104375498,0.0005481027059808547,0.13113731363369682,0.00016961255246542787
4,1.2975e-09,1.2974999999999999,-7.566958436189924e-09,6.738167330367454e-09,0.1318161907415485,0.001082954227689961,0.0010826673916933128,0.001065190765810342,-4.143073726719135e-08,3.77053610700525e-08,0.7631963083211927,0.0005193495284322726,0.0005167449935333492,0.0005493756662684185,0.13181877272976686,0.00017031723636961379
4,1.30125e-09,1.30125,-7.60354688699415e-09,6.7715698134215956e-09,0.13249886777829953,0.001083412183922192,0.0010831243332480149,0.0010654971326296435,-4.159109025293608e-08,3.784703818182334e-08,0.7653964276426724,0.000520406534702226,0.000517799055421186,0.0005506468375428379,0.1325014745573046,0.0001710218149338888
4,1.305e-09,1.305,-7.640237948214732e-09,6.805062486510023e-09,0.13318278336333456,0.001083870596596435,0.0010835817292968641,0.0010658032376652487,-4.175237468535992e-08,3.798923853143183e-08,0.7675965475830558,0.0005214611190657957,0.0005188507019401159,0.0005519162240912348,0.13318541516697174,0.00017172628201686066
4,1.30875e-09,1.30875,-7.677032164611278e-09,6.838645564335154e-09,0.13386793355624954,0.001084329461750628,0.0010840395758836064,0.001066109077776371,-4.1914592659384356e-08,3.813196166141201e-08,0.7697966681426927,0.0005225132874392054,0.0005198999389398972,0.0005531838302125268,0.13387059061902437,0.00017243063153810754
4,1.3125e-09,1.3125,-7.713930080576838e-09,6.872319259890093e-09,0.13455431442626845,0.0010847887754403933,0.0010844978690696693,0.0010664146498564457,-4.2077746293144755e-08,3.827520726389293e-08,0.7719967893219134,0.000523563045747567,0.0005209467722801404,0.0005544496602177403,0.13455699698333717,0.00017313485747801784
4,1.31625e-09,1.3162500000000001,-7.750932240718127e-09,6.906083785911294e-09,0.13524192205226748,0.001085248533739029,0.0010849566049341546,0.0010667199508329628,-4.224183815713068e-08,3.8418976594640145e-08,0.7741969111210204,0.0005246103999247831,0.0005219912078296557,0.000555713718428424,0.1352446303394276,0.00017383895387710745
4,1.32e-09,1.32,-7.78803918976267e-09,6.93993935469306e-09,0.1359307525227984,0.0010857087327374813,0.0010854157795738147,0.0010670249776672785,-4.240687118367809e-08,3.856326949311804e-08,0.7763970335402951,0.000525655355913569,0.0005230332514667127,0.0005569760091767136,0.13593348677647932,0.00017454291483580373
4,1.32375e-09,1.32375,-7.825251473216095e-09,6.973886177361106e-09,0.13662080193611156,0.0010861693685443425,0.0010858753891030387,0.0010673297273544428,-4.257284830167994e-08,3.870808615562637e-08,0.7785971565799973,0.0005266979196643304,0.0005240729090777381,0.0005582365368051959,0.1366235623933642,0.00017524673451418236
4,1.3275e-09,1.3275000000000001,-7.862569636854765e-09,7.007924464200149e-09,0.13731206640017724,0.0010866304372858216,0.0010863354296538354,0.001067634196923021,-4.273977230334695e-08,3.885342636184323e-08,0.7807972802403607,0.0005277380971348404,0.0005251101865578408,0.0005594953056670196,0.13731485329866505,0.00017595040713174641
4,1.33125e-09,1.3312499999999998,-7.899994227042142e-09,7.042054424075173e-09,0.13800454203270734,0.0010870919351057301,0.001086795897375812,0.0010679383834349089,-4.290764554771505e-08,3.8999289362833875e-08,0.7829974045215969,0.0005287758942895694,0.0005261450898101477,0.0005607523201257248,0.138007355610696,0.00017665392696718737
4,1.335e-09,1.335,-7.937525789248173e-09,7.07627626427854e-09,0.13869822496117584,0.0010875538581654645,0.0010872567884361575,0.0010682422839851562,-4.307646896895364e-08,3.914567468877967e-08,0.7851975294238935,0.0005298113171004246,0.0005271776247456482,0.0005620075845534448,0.1387010654575238,0.00017735728835755694
4,1.33875e-09,1.3387499999999999,-7.975164867835418e-09,7.110590190689971e-09,0.13939311132283871,0.001088016202643981,0.0010877180990196244,0.001068545895701783,-4.3246243966999544e-08,3.929258197100786e-08,0.7873976549474173,0.0005308443715466098,0.0005282077972816022,0.0005632611033302864,0.13939597897698774,0.00017806048569784903
4,1.3425e-09,1.3425,-8.012912006310718e-09,7.144996408299276e-09,0.14008919726475375,0.00108847896473778,0.0010881798253284986,0.0010688492157456015,-4.341697224412186e-08,3.9440011428199694e-08,0.7895977810923103,0.0005318750636124619,0.0005292356133423413,0.0005645128808478002,0.14009209231671926,0.00017876351344186153
4,1.34625e-09,1.34625,-8.05076774828881e-09,7.179495120987814e-09,0.14078647894379917,0.001088942140660882,0.001088641963582586,0.0010691522413100304,-4.3588656604056865e-08,3.958796255830924e-08,0.7917979078586982,0.0005329033992883293,0.000530261078858888,0.0005657629215062751,0.14078940163416076,0.0001794663661010996
4,1.35e-09,1.35,-8.088732637536892e-09,7.214086531263163e-09,0.14148495252669122,0.0010894057266448041,0.0010891045100191855,0.0010694549696209138,-4.3761299207664225e-08,3.973643513434538e-08,0.7939980352466762,0.0005339293845694095,0.0005312841997691261,0.000567011229713014,0.14148790309658338,0.00018016903824400775
4,1.35375e-09,1.35375,-8.12680721732252e-09,7.2487708407178935e-09,0.1421846141900024,0.001089869718938535,0.0010895674608930699,0.0010697573979363392,-4.393490141056586e-08,3.9885429351670964e-08,0.7961981632563254,0.0005349530254551492,0.0005323049820160427,0.0005682578098824918,0.14218759288110436,0.0001808715244957532
4,1.3575e-09,1.3575,-8.16499202946218e-09,7.283548250098286e-09,0.1428854601201784,0.001090334113808516,0.001090030812476456,0.0010700595235464522,-4.41094631204952e-08,4.003494508035234e-08,0.7983982918876977,0.0005359743279492303,0.0005333234315470855,0.0005695026664377865,0.1428884671747045,0.0001815738195384789
4,1.36125e-09,1.36125,-8.203287613482293e-09,7.318418958923267e-09,0.14358748651355385,0.001090798907538607,0.001090494561058985,0.001070361343773273,-4.428498493225944e-08,4.018498214160308e-08,0.8005984211408281,0.0005369932980592277,0.0005343395543144845,0.0005707458038099138,0.14359052217424423,0.00018227591811080602
4,1.365e-09,1.365,-8.241694507900785e-09,7.353383165875004e-09,0.1442906895763685,0.0010912640964300692,0.001090958702947688,0.0010706628559705128,-4.4461468378170823e-08,4.033554065671798e-08,0.8027985510157274,0.0005380099417965935,0.0005353533562759368,0.0005719872264370805,0.14429375408647943,0.00018297781500738945
4,1.36875e-09,1.3687500000000001,-8.280213250499933e-09,7.388441068524143e-09,0.1449950655247827,0.0010917296768015302,0.0010914232344669693,0.0010709640575233869,-4.463891446263281e-08,4.048661996317067e-08,0.8049986815123881,0.0005390242651767914,0.0005363648433940606,0.0005732269387654342,0.1449981591280774,0.00018367950507890303
4,1.3725e-09,1.3725,-8.31884437768622e-09,7.4235928627813575e-09,0.1457006105848908,0.0010921956449889652,0.001091888151958573,0.0010712649458484353,-4.4817324317988114e-08,4.0638219636799605e-08,0.80719881263078,0.0005400362742191265,0.000537374021635197,0.0005744649452463514,0.1457037335256303,0.00018438098323092134
4,1.37625e-09,1.37625,-8.357588424936513e-09,7.458838743485613e-09,0.14640732099273668,0.001092661997345664,0.0010923534517815576,0.0010715655183933322,-4.4996699006653374e-08,4.079033926441806e-08,0.8093989443708531,0.0005410459749463433,0.000538380896968072,0.0005757012503363982,0.14641047351566938,0.00018508224442366497
4,1.38e-09,1.38,-8.396445926290896e-09,7.494178904134811e-09,0.147115192994326,0.0010931287302422057,0.0010928191303122648,0.001071865772636702,-4.517703940782735e-08,4.0942978471557824e-08,0.8115990767325314,0.000542053373382875,0.0005393854753656009,0.000576935858499092,0.14711837534467823,0.00018578328367231258
4,1.38375e-09,1.3837499999999998,-8.435417414762533e-09,7.52961353671225e-09,0.1478242228456391,0.0010935958400664233,0.0010932851839442928,0.0010721657060879335,-4.535834692469905e-08,4.109613605971252e-08,0.8137992097157232,0.0005430584755558942,0.0005403877628038778,0.0005781687742037839,0.1478274352691062,0.00018648409604641127
4,1.3875e-09,1.3875,-8.474503422773571e-09,7.565142831072214e-09,0.14853440681264443,0.001094063323223382,0.0010937516090884646,0.0010724653162869937,-4.554062343664967e-08,4.1249810742299495e-08,0.8159993433203144,0.0005440612874943311,0.0005413877652609672,0.000579400001925271,0.1485376495553803,0.0001871846766694645
4,1.39125e-09,1.3912499999999999,-8.513704482272454e-09,7.600766975035045e-09,0.14924574117130898,0.0010945311761353404,0.0010942184021727956,0.0010727646008042416,-4.57238704553166e-08,4.140400142255527e-08,0.8181994775461661,0.0005450618152287264,0.0005423854887176365,0.0005806295461444246,0.14924901447991729,0.00018788502071892847
4,1.395e-09,1.395,-8.553021124223371e-09,7.636486155060438e-09,0.14995822220761024,0.001094999395241726,0.0010946855596424652,0.0010730635572402428,-4.5908089351023233e-08,4.155870796534289e-08,0.8203996123931243,0.0005460600647915779,0.0005433809391569804,0.0005818574113458016,0.1499615263291344,0.00018858512342517534
4,1.39875e-09,1.39875,-8.59245387875407e-09,7.672300556530763e-09,0.15067184621754656,0.001095467976999099,0.0010951530779597842,0.0010733621832255823,-4.609328135622606e-08,4.171392952567461e-08,0.8225997478610115,0.0005470560422163157,0.0005443741225638828,0.0005830836020186133,0.15067518139946057,0.00018928498007153097
4,1.4025e-09,1.4025,-8.632003275003069e-09,7.708210362731668e-09,0.1513866095071476,0.0010959369178811197,0.0010956209536041605,0.0010736604764206787,-4.6279447576742266e-08,4.186966482178098e-08,0.8247998839496331,0.0005480497535368343,0.0005453650449250416,0.0005843081226566335,0.15138997599734672,0.0001899845859940272
4,1.40625e-09,1.40625,-8.671669840528426e-09,7.74421575521302e-09,0.15210250839248338,0.0010964062143785167,0.001096089183072069,0.0010739584345155948,-4.646658828970658e-08,4.202591319741565e-08,0.8270000206587713,0.0005490412047884964,0.0005463537122274893,0.0005855309777568092,0.15210590643927457,0.00019068393658066
4,1.4099999999999999e-09,1.41,-8.711454101141938e-09,7.780316914206699e-09,0.15281953919967325,0.0010968758629990557,0.0010965577628770117,0.0010742560552298543,-4.665470405448209e-08,4.218267409790619e-08,0.8292001579881927,0.0005500304020073915,0.0005473401304587583,0.0005867521718201486,0.15282296905176687,0.0001913830272714571
4,1.41375e-09,1.41375,-8.751356581148e-09,7.81651401845074e-09,0.1535376982648956,0.0010973458602675007,0.0010970266895494907,0.0010745533363122517,-4.68437947606275e-08,4.23399462808773e-08,0.8314002959376414,0.0005510173512292654,0.0005483243056074054,0.0005879717093503215,0.15354116017139494,0.00019208185355774673
4,1.4175e-09,1.4175,-8.79137780215257e-09,7.852807244325461e-09,0.15425698193439522,0.001097816202725581,0.0010974959596369647,0.0010748502755406665,-4.703386033038032e-08,4.249772846628664e-08,0.8336004345068407,0.0005520020584894692,0.0005493062436620361,0.0005891895948548228,0.154260476144787,0.0001927804109822819
