time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
7.5e-11,-3.609019104864855e-11,3.325249374272984e-11,0.0005388605775844245,0.0009873655287374172,0.0009872719132905093,0.0009868207270404823,-3.379431967207412e-09,3.098447327696218e-09,0.04597893755114515,3.3789974379945955e-05,3.348478549785859e-05,3.3197090234862836e-05,0.000539858704995461
7.875e-11,-3.990724136026401e-11,3.675056191234843e-11,0.0005917291047580345,0.0009874033456697756,0.0009873096522699809,0.0009868579661112013,-3.5490399676933457e-09,3.2525572055721026e-09,0.048178966230496195,3.5615827050810694e-05,3.5296516025075076e-05,3.501811958223429e-05,0.0005927270594961514
8.25e-11,-4.391425448697528e-11,4.04212167229989e-11,0.0006470623593129559,0.0009874431607272258,0.000987349385778103,0.0009868971905247562,-3.7183914574992803e-09,3.406340982813543e-09,0.050378994912616604,3.744149198190297e-05,3.7108078744286195e-05,3.683899283371071e-05,0.000648060133944106
8.625e-11,-4.811087543187433e-11,4.4264029219514945e-11,0.0007048595416887141,0.0009874849727829255,0.0009873911126891473,0.0009869383980954005,-3.8874751166533125e-09,3.5597826679745813e-09,0.05257902359764806,3.926690017802342e-05,3.891940617122824e-05,3.865966636788487e-05,0.0007058571287813817
9e-11,-5.249673325403432e-11,4.827854973381009e-11,0.0007651198170905533,0.0009875287806585015,0.0009874348318258998,0.0009869815865375577,-4.056279790233599e-09,3.712866945709141e-09,0.05477905228573839,4.1091990717796744e-05,4.073043880538996e-05,4.048010146425667e-05,0.0007661172092160338
9.375e-11,-5.707144191766015e-11,5.2464309668623187e-11,0.0008278423155495066,0.0009875745831241555,0.0009874805419597694,0.000987026753466121,-4.22479415925376e-09,3.865579478912785e-09,0.056979080977038896,4.2916709049034744e-05,4.254112344454039e-05,4.230026325852504e-05,0.0008288395052822076
9.75e-11,-6.183459989917103e-11,5.6820821658031166e-11,0.0008930261319849661,0.000987622378898786,0.0009875282418108993,0.000987073896396775,-4.3930077116207254e-09,4.01790646176728e-09,0.05917910967170285,4.474100570402469e-05,4.435141190928292e-05,4.4120119954095794e-05,0.0008940231119025917
1.0125e-10,-6.678579084989788e-11,6.134758116749427e-11,0.0009606703262697007,0.0009876721666500939,0.0009875779300482874,0.0009871230127463234,-4.560909514467172e-09,4.169834800478607e-09,0.061379138369887475,4.656483531410237e-05,4.616126006692898e-05,4.593964222738335e-05,0.0009616670889535863
1.05e-10,-7.192458303217118e-11,6.604406620120617e-11,0.0010307739232973613,0.0009877239449947123,0.0009876296052899014,0.0009871740998330396,-4.728487741014192e-09,4.3213519862379836e-09,0.06357916707175464,4.838815584988712e-05,4.797062707769002e-05,4.775880276590134e-05,0.001031770461332814
1.0875e-10,-7.725052835063288e-11,7.090973830805148e-11,0.001103335913052424,0.0009877777124983327,0.0009876832661028104,0.0009872271548770197,-4.895729690919892e-09,4.472444490718113e-09,0.06577919577746462,5.021092802800058e-05,4.977947480937012e-05,4.957757590260905e-05,0.001104332219028867
