time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
8.2875e-10,5.3256039702468e-09,-1.6638788768381775e-08,0.057640231275458434,0.0010336846682844722,0.0010339728887627938,0.0010291502784640872,3.122809466853692e-08,-4.960499949465956e-08,0.48818593892245404,0.0004436119683205858,0.0004454988300071088,0.0004619056367909144,0.05764131396679085
8.325e-10,5.3579233966038275e-09,-1.6687160258888626e-08,0.058134323680966,0.00103407099231624,0.0010343622356342762,0.0010294716300682512,3.1569011933305446e-08,-4.910793714824874e-08,0.49038599495761737,0.0004451689410916595,0.00044705418888989174,0.00046360587086909566,0.05813541072894094
8.3625e-10,5.390568928109319e-09,-1.6734975392333074e-08,0.05863020628645115,0.0010344584656425773,0.0010347527377808044,0.0010297934451754974,3.191458122988259e-08,-4.8604125148284426e-08,0.49258605140949224,0.0004467221316232392,0.00044860585867284846,0.0004653030740337644,0.05863129779598395
8.4e-10,5.423544619972051e-09,-1.6782228149482155e-08,0.05912787442102586,0.0010348470821567467,0.0010351443890287014,0.0010301157151385277,3.226481012944739e-08,-4.8093493882698984e-08,0.4947861082813998,0.0004482715433248274,0.00045015384122756787,0.00046699725013533516,0.05912897049839315
8.4375e-10,5.456854518378625e-09,-1.6828912460938227e-08,0.059627323413307155,0.0010352368357594117,0.0010355371832120705,0.0010304384313476974,3.261970185042763e-08,-4.757597151047304e-08,0.49698616557664516,0.00044981717970526936,0.0004516981385403259,0.0004686884030703691,0.05962842416614952
8.475e-10,5.490502658112042e-09,-1.6875022207874615e-08,0.06012854859156609,0.0010356277203588638,0.0010359311141730167,0.0010307615852313276,3.297925860266585e-08,-4.7051488383807714e-08,0.4991862232985217,0.0004513590443718229,0.00045323875271509247,0.0004703765367799141,0.06012965412889031
8.5125e-10,5.5244930622205045e-09,-1.692055122386563e-08,0.060631545283873774,0.001036019729871231,0.0010363261757618636,0.0010310851682560043,3.3343481872555937e-08,-4.651997396221485e-08,0.5013862814503071,0.00045289714102661835,0.0004547756859739492,0.00047206165525030716,0.06063265571605517
8.55e-10,5.558829741485699e-09,-1.6965493294482103e-08,0.06113630881824775,0.0010364128582207028,0.0010367223618373723,0.0010314091719268786,3.371237470713914e-08,-4.5981359145691465e-08,0.5035863400352625,0.0004544314734694563,0.0004563089406501299,0.00047374376251576656,0.06113742425703178
8.5875e-10,5.593516696625712e-09,-1.700984215893295e-08,0.06164283452279575,0.0010368070993397394,0.0010371196662669502,0.0010317335877879545,3.408594002296579e-08,-4.5435575660540225e-08,0.5057863990566341,0.00045596204559473504,0.0004578385191899886,0.0004754228626594341,0.06164395508130061
8.625e-10,5.628557915915716e-09,-1.705359151060344e-08,0.0621511177258599,0.0010372024471692793,0.0010375180829268694,0.0010320584074223732,3.446417999741295e-08,-4.4882553710815556e-08,0.5079864585176519,0.00045748886139038045,0.00045936442415133485,0.00047709895980704473,0.06215224351857704
8.6625e-10,5.6639573781119274e-09,-1.7096734995517e-08,0.06266115375615867,0.0010375988956589587,0.001037917605702471,0.0010323836224526844,3.484710025313091e-08,-4.4322222455225234e-08,0.510186518421528,0.0004590119249367817,0.0004608866582035292,0.0004787720581282104,0.06266228489895473
8.7e-10,5.699719053509551e-09,-1.713926621089526e-08,0.06317293794292768,0.0010379964387673094,0.0010383182284883698,0.0010327092245411146,3.523470552741385e-08,-4.3754509351516505e-08,0.5123865787714583,0.0004605312404043826,0.00046240522412700823,0.00048044216183441895,0.06317407455304587
8.7375e-10,5.7358469019312864e-09,-1.718117870453589e-08,0.06368646561605999,0.0010383950704619632,0.001038719945188667,0.0010330352053898202,3.5626997911829956e-08,-4.3179341945175464e-08,0.5145866395706222,0.00046204681205255104,0.0004639201248112467,0.0004821092751831194,0.06368760781212097
