time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
2.310000000000006292e-09,1.119960551019084941e-06,1.058561695662617929e-05,4.271011067444074882e-01,1.218223566625313775e-03,1.215621475608679673e-03,1.121998288211727623e-03,1.625901828626923635e-09,-4.582084850408323499e-09,1.562827639585878226e+00,8.541499346287388878e-04,8.546099812908620336e-04,9.506997600939257878e-04
2.325000000000006343e-09,1.119964849164206170e-06,1.058560572900125007e-05,4.308920241379398108e-01,1.220292507427766680e-03,1.217691420632567752e-03,1.122663511676806050e-03,1.625957303912828173e-09,-4.582103440697471400e-09,1.571627810491348809e+00,8.583604772396478261e-04,8.588224393564483292e-04,9.557145854977788183e-04
2.340000000000006395e-09,1.119969132870774980e-06,1.058559454504129787e-05,4.346890637560195669e-01,1.222363347722376899e-03,1.219763265857391017e-03,1.123324288678259879e-03,1.626012194012882164e-09,-4.582121814527135391e-09,1.580427981395158499e+00,8.625580914502390143e-04,8.630219595457177878e-04,9.607166286861119810e-04
2.355000000000006447e-09,1.119973402209096590e-06,1.058558340447804535e-05,4.384921529154744424e-01,1.224436028423630390e-03,1.221836952167106461e-03,1.123980640903446968e-03,1.626066504658301608e-09,-4.582139974355904702e-09,1.589228152297274432e+00,8.667428496936412834e-04,8.672086143632288645e-04,9.657059454524297495e-04
2.370000000000006498e-09,1.119977657249185683e-06,1.058557230704469914e-05,4.423012199660326105e-01,1.226510491438474650e-03,1.223912421438598172e-03,1.124632590408269992e-03,1.626120241677527038e-09,-4.582157922822064451e-09,1.598028323197681733e+00,8.709148239505723520e-04,8.713824758680217180e-04,9.706825914833714514e-04
2.385000000000006550e-09,1.119981898060948524e-06,1.058556125247594821e-05,4.461161942744892306e-01,1.228586679650132225e-03,1.225989616525549391e-03,1.125280159595363604e-03,1.626173411117037594e-09,-4.582175662593235718e-09,1.606828494096360194e+00,8.750740857478541204e-04,8.755436156511220988e-04,9.756466223761390590e-04
2.400000000000006601e-09,1.119986124713915930e-06,1.058555024050801632e-05,4.499370062090704558e-01,1.230664536902189394e-03,1.228068481242453134e-03,1.125923371193141790e-03,1.626226019091184861e-09,-4.582193196225419004e-09,1.615628664993284724e+00,8.792207061646994167e-04,8.796921048580069952e-04,9.805980936169024845e-04
2.415000000000006653e-09,1.119990337277406113e-06,1.058553927087873491e-05,4.537635871240499608e-01,1.232744007982832304e-03,1.230148960348938312e-03,1.126562248235524156e-03,1.626278071567601743e-09,-4.582210526204190305e-09,1.624428835888459322e+00,8.833547558500000341e-04,8.838280142262601663e-04,9.855370605575163381e-04
2.430000000000006705e-09,1.119994535820531879e-06,1.058552834332717042e-05,4.575958693445476011e-01,1.234825038609524590e-03,1.232230999534379918e-03,1.127196814042360443e-03,1.626329574326461958e-09,-4.582227655132868990e-09,1.633229006781855785e+00,8.874763050360766911e-04,8.879514140636024120e-04,9.904635783764934205e-04
2.445000000000006756e-09,1.119998720412139219e-06,1.058551745759445601e-05,4.614337861515766526e-01,1.236907575413786044e-03,1.234314545402682029e-03,1.127827092200579719e-03,1.626380533441000423e-09,-4.582244585504384692e-09,1.642029177673454354e+00,8.915854234982470731e-04,8.920623742257272277e-04,9.953777020829085009e-04
2.460000000000006808e-09,1.120002891120796509e-06,1.058550661342275486e-05,4.652772717673064884e-01,1.238991565926127626e-03,1.236399545457234289e-03,1.128453106545982071e-03,1.626430955050410611e-09,-4.582261319411093252e-09,1.650829348563248145e+00,8.956821805630882111e-04,8.961609641267794012e-04,1.000279486523500492e-03
2.475000000000006859e-09,1.120007048014927282e-06,1.058549581055605803e-05,4.691262613405717818e-01,1.241076958561389797e-03,1.238485948086183886e-03,1.129074881145665857e-03,1.626480844803797611e-09,-4.582277859089289035e-09,1.659629519451218504e+00,8.997666451302582195e-04,9.002472527443359466e-04,1.005168986361284827e-03
2.490000000000006911e-09,1.120011191162535155e-06,1.058548504873999815e-05,4.729806909325373065e-01,1.243163702604152413e-03,1.240573702547897485e-03,1.129692440281151447e-03,1.626530207944433918e-09,-4.582294206992919963e-09,1.668429690337347449e+00,9.038388856497805253e-04,9.043213086141485904e-04,1.010046256103951968e-03
