time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
1.333333333333333279e-09,3.578469802921202604e-06,-2.689061036710022740e-06,1.948495488516922003e-01,1.085784772105862763e-03,1.084621309413616062e-03,1.058403348568808444e-03,-9.585763840995975851e-09,-2.604674717319823548e-07,9.810366036982338667e-01,4.805511750338188875e-04,4.806527288106182791e-04,5.381039252377958380e-04
1.454545454545454561e-09,3.575237318741643563e-06,-2.681806745810646637e-06,2.207512804326967615e-01,1.098332997966651849e-03,1.097190005423658759e-03,1.065140722558628175e-03,2.238946813510391218e-08,-2.651608202558354326e-07,1.052148753501508160e+00,5.116581059688957807e-04,5.116236255472245923e-04,5.788478702616594576e-04
1.575757575757575636e-09,3.569172123171325386e-06,-2.711510079913120186e-06,2.474987574414030944e-01,1.111065255787754965e-03,1.109953576889138134e-03,1.071811909777008274e-03,1.054940854939290078e-07,-4.428942623423574222e-08,1.123260973882666436e+00,5.417033525729434296e-04,5.414916802888383469e-04,6.191814674006982299e-04
1.696969696969696919e-09,3.552325673775051790e-06,-2.747278735460700358e-06,2.750067656264038041e-01,1.124014140921598612e-03,1.122906354878977454e-03,1.078296261670866254e-03,2.459543181680841547e-07,2.452770452048943692e-07,1.194373465261499900e+00,5.701772919879028768e-04,5.699660897079462420e-04,6.585024681974683625e-04
1.818181818181817994e-09,3.554436859032012967e-06,-2.772987148355957054e-06,3.031991559546758364e-01,1.137080778852495467e-03,1.135971015513888294e-03,1.084569815516383444e-03,2.388119592111553791e-07,5.126535245402494190e-07,1.265486128127973231e+00,5.975152830255145518e-04,5.973573687002331793e-04,6.968198349508155157e-04
1.939393939393939277e-09,3.565002104134798698e-06,-2.766885799426548405e-06,3.320080581002617381e-01,1.150293485281217052e-03,1.149193351041651870e-03,1.090450876682115761e-03,1.072553597934466736e-07,3.981466284988002844e-07,1.336598873723306324e+00,6.228571665170677023e-04,6.226579854888129352e-04,7.334672559674199109e-04
2.060606060606060559e-09,3.572176266869043902e-06,-2.751764851902160961e-06,3.613729718251033618e-01,1.163643787993034334e-03,1.162541047424979967e-03,1.095721510437413712e-03,1.007919458131354621e-08,-3.979520101747404606e-08,1.407711205541229083e+00,6.455902718602586198e-04,6.455206307802815362e-04,7.676020685103707034e-04
2.181818181818181841e-09,3.578221942452127631e-06,-2.741525227366318095e-06,3.912402553282136042e-01,1.177035359306244366e-03,1.175920972694610191e-03,1.100680463148465908e-03,1.575226435024040690e-08,-2.862815060036244575e-07,1.478823419488117574e+00,6.668575754623963514e-04,6.669017424113081200e-04,8.004633920961152973e-04
2.303030303030302710e-09,3.581258365941192068e-06,-2.734553123513841035e-06,4.215621640166162809e-01,1.190418918117958557e-03,1.189295846573076550e-03,1.105453315390376090e-03,1.100313336544483779e-07,-2.365757751528988617e-07,1.549935577790843455e+00,6.873089733446296947e-04,6.871680868155800523e-04,8.325541863217296359e-04
2.424242424242423992e-09,3.583968179322506725e-06,-2.725427014721417685e-06,4.522962419657663991e-01,1.203782064742220295e-03,1.202651776588347775e-03,1.110143915741908585e-03,1.184635811865691942e-07,-1.005824109451924839e-07,1.621047788050627103e+00,7.072342622818306385e-04,7.069054323432356164e-04,8.643079437099795504e-04
2.545454545454545275e-09,3.590987549980070535e-06,-2.702070862877022471e-06,4.834047000666754634e-01,1.217073056756291446e-03,1.215946313602589727e-03,1.114626142731528491e-03,1.840585096890604155e-07,1.686773587525490927e-07,1.692160230309997182e+00,7.259771974958548939e-04,7.256569360266479883e-04,8.952216724617518369e-04
2.666666666666666557e-09,3.604839984456398266e-06,-2.686423298391603915e-06,5.148537939385431361e-01,1.230316733439973647e-03,1.229188009987734580e-03,1.118928165318272246e-03,2.855070180186374803e-07,3.769676759590695221e-07,1.763272831005755270e+00,7.441460232705651625e-04,7.438210022099652624e-04,9.254008624758783101e-04
