time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
5.212121212121211418e-09,3.236827296005022050e-06,-2.728242571900466260e-06,1.219868114252402824e+00,1.102046013070448341e-03,1.100780708053657360e-03,1.035332840103119802e-03,-9.258458854036323725e-07,1.029199242982479505e-07,3.257178817530315129e+00,2.527962856627519270e-04,2.519167499220504344e-04,4.248957162105567939e-04
5.333333333333333114e-09,3.224841167063842106e-06,-2.729446629125487640e-06,1.254638285512163609e+00,1.104691023619086814e-03,1.103418932112779213e-03,1.035634140521611828e-03,-9.359203270182850597e-07,9.111009506748596082e-08,3.328304365315865709e+00,2.558574365129867947e-04,2.549425796438193519e-04,4.314800683283829185e-04
5.454545454545453983e-09,3.210248553668467426e-06,-2.728787423258936107e-06,1.289470052952674362e+00,1.107304162219598575e-03,1.106029462662592175e-03,1.035926798909745381e-03,-9.610858077132068987e-07,8.617129760278844576e-08,3.399429722126512843e+00,2.587669997805193954e-04,2.578273775945289100e-04,4.379923986066473133e-04
5.575757575757575679e-09,3.202798351181042823e-06,-2.732027973008675304e-06,1.324359932544815210e+00,1.109889140768054519e-03,1.108612105940410880e-03,1.036216809324784450e-03,-9.567469493054987753e-07,6.414220840820634618e-08,3.470554933251797980e+00,2.615415133107669475e-04,2.605800678214264285e-04,4.444917075037058325e-04
5.696969696969696547e-09,3.200794809349009799e-06,-2.735826835108194233e-06,1.359304688194662214e+00,1.112445300304909079e-03,1.111169273041222837e-03,1.036505607711855296e-03,-9.308130071148521724e-07,3.892305156908366843e-08,3.541679977291314341e+00,2.641820775137452182e-04,2.632129927275288976e-04,4.509755532915717363e-04
5.818181818181818243e-09,3.197947455587751290e-06,-2.736738158231443410e-06,1.394301316783657096e+00,1.114982946804967366e-03,1.113699084499126558e-03,1.036786692294331064e-03,-9.088804446710931851e-07,2.542103352893203048e-08,3.612804852274102085e+00,2.667449002688087397e-04,2.657255655780638962e-04,4.573970371133471297e-04
5.939393939393939112e-09,3.183604962156357941e-06,-2.740085448571969981e-06,1.429347029612378250e+00,1.117496610194245333e-03,1.116208431838390611e-03,1.037067587251300996e-03,-9.358285213810319657e-07,4.668076255790716464e-10,3.683929617491686681e+00,2.692035927135648919e-04,2.681511936290324055e-04,4.637973051949190921e-04
6.060606060606059981e-09,3.164647978148022319e-06,-2.735889587127342887e-06,1.464439230839742256e+00,1.119993063854977195e-03,1.118697747478084297e-03,1.037351524451348827e-03,-9.828375847233205054e-07,9.204264462824613170e-09,3.755054300200475481e+00,2.715928563552406504e-04,2.704987592633281918e-04,4.702114382554032691e-04
6.181818181818181677e-09,3.145048880344264500e-06,-2.728205003184256375e-06,1.499575499387263200e+00,1.122480406543488246e-03,1.121176038309967598e-03,1.037638402226654993e-03,-1.033815906583770714e-06,3.485451197795326106e-08,3.826178896709381494e+00,2.739481212028305277e-04,2.728101732425320400e-04,4.766339759034262280e-04
6.303030303030302546e-09,3.129310639142735636e-06,-2.725466087401285994e-06,1.534753579364087406e+00,1.124961215284821280e-03,1.123641884075934514e-03,1.037928106274703909e-03,-1.073530135568061923e-06,4.059580069950164950e-08,3.897303451065829094e+00,2.762897512611789549e-04,2.750912486828339140e-04,4.830665909864773522e-04
6.424242424242424241e-09,3.114966768381208424e-06,-2.724659202030026853e-06,1.569971363260771913e+00,1.127427675748070854e-03,1.126100117352090389e-03,1.038220446768903845e-03,-1.110648989515282271e-06,3.655930155746056959e-08,3.968427968919250315e+00,2.786077438830600740e-04,2.773640449818614933e-04,4.895040706601041592e-04
6.545454545454545110e-09,3.100982265939343844e-06,-2.722414912461288493e-06,1.605226878550239267e+00,1.129887702522744831e-03,1.128547745345113247e-03,1.038513557386827688e-03,-1.147215582453568766e-06,4.107021651305028396e-08,4.039552473079448980e+00,2.809226591381965704e-04,2.796238159322063507e-04,4.959397632112305795e-04
6.666666666666665979e-09,3.088658198962064203e-06,-2.718467196439825149e-06,1.640518277969548633e+00,1.132341330538257172e-03,1.130988432932428277e-03,1.038807159787599483e-03,-1.173275854605858663e-06,5.248912231212306507e-08,4.110676963877882173e+00,2.832354265344323480e-04,2.818763734500517762e-04,5.023770961717229609e-04
6.787878787878787675e-09,3.082214079138488024e-06,-2.715198101935466212e-06,1.675843832444070980e+00,1.134785929065030121e-03,1.133421378769114505e-03,1.039100483278869664e-03,-1.180317696404515808e-06,5.887046052910356895e-08,4.181801442068858066e+00,2.855315991954551899e-04,2.841203206861352094e-04,5.088054133392946269e-04
6.909090909090908544e-09,3.076566050899680060e-06,-2.711770209701986026e-06,1.711201920418791822e+00,1.137223964084224919e-03,1.135850414457685933e-03,1.039393415252675128e-03,-1.181884855446073042e-06,6.302132310400947785e-08,4.252925923305052258e+00,2.878173203824126018e-04,2.863637150417502387e-04,5.152206141372894614e-04
7.030303030303030240e-09,3.074798852671832913e-06,-2.703676170863210645e-06,1.746591011899131907e+00,1.139644550279367416e-03,1.138265720164939251e-03,1.039673422178118926e-03,-1.169506855848240573e-06,7.677884533558611147e-08,4.324050298810982795e+00,2.900668303280268322e-04,2.885821995189317133e-04,5.215078573596016549e-04
7.151515151515151108e-09,3.076817408445983136e-06,-2.697864711084426773e-06,1.782009658437510691e+00,1.142035497751063685e-03,1.140645740259281201e-03,1.039915106183196547e-03,-1.148817318943785549e-06,9.009159341719835193e-08,4.395174325407520399e+00,2.922405701980334094e-04,2.907235776313343671e-04,5.273646044546305553e-04
7.272727272727271977e-09,3.074936649633459358e-06,-2.699564446340535139e-06,1.817456513346563662e+00,1.144394444952407568e-03,1.142982457854704740e-03,1.040123165269418596e-03,-1.140979806988981456e-06,8.435515678859177678e-08,4.466297925462550111e+00,2.943355056116478256e-04,2.927618549975548497e-04,5.327558859292226600e-04
7.393939393939393673e-09,3.064112054286765459e-06,-2.704777684908582458e-06,1.852930314106717935e+00,1.146717216929065862e-03,1.145289207609361632e-03,1.040302605925905914e-03,-1.154175978906524304e-06,7.011826280565144750e-08,4.537421140917046181e+00,2.963417178717863624e-04,2.947218054779969228e-04,5.377024545788600509e-04
7.515151515151515369e-09,3.057660816617537119e-06,-2.712672713595827855e-06,1.888429878029498576e+00,1.149009065573384928e-03,1.147576286653458327e-03,1.040463206765488997e-03,-1.156463385084921106e-06,4.729496272940625821e-08,4.608544083391596047e+00,2.982688278759122714e-04,2.966295205131256794e-04,5.423547680961671733e-04
7.636363636363635410e-09,3.044563745957814824e-06,-2.718291640035307765e-06,1.923954083355071232e+00,1.151277973574318849e-03,1.149833727738664747e-03,1.040605263559363355e-03,-1.175130429299448523e-06,3.033238717216299101e-08,4.679666776055241506e+00,3.001425153941999612e-04,2.984621236215965643e-04,5.467472581473670776e-04
7.757575757575757106e-09,3.033799764742233861e-06,-2.717491526927740569e-06,1.959501875549967131e+00,1.153519601033095240e-03,1.152066299013321032e-03,1.040740064876037119e-03,-1.186484454179484301e-06,2.776869355044154517e-08,4.750789263388221606e+00,3.019508990800898857e-04,3.002347981099333656e-04,5.510199085006336952e-04
7.878787878787878802e-09,3.029282442137143524e-06,-2.716565910056166509e-06,1.995072255322567045e+00,1.155731930930865717e-03,1.154265345329232246e-03,1.040871984634508113e-03,-1.183110270196489341e-06,2.675123380593941244e-08,4.821911550324849749e+00,3.036849256267980029e-04,3.019199254651217944e-04,5.552421079885593459e-04
7.999999999999998844e-09,3.019989464364469165e-06,-2.721527811205783153e-06,2.030664280489169915e+00,1.157913142500675320e-03,1.156443514386276900e-03,1.041002258933569537e-03,-1.192629185803140455e-06,1.075567000878066566e-08,4.893033701988176887e+00,3.053421680110985281e-04,3.035522622082741464e-04,5.594308037287433651e-04
8.121212121212120540e-09,3.018361924438833081e-06,-2.729307288783606731e-06,2.066277058639042874e+00,1.160069621018125496e-03,1.158605306231128181e-03,1.041131189553959812e-03,-1.179671279167722485e-06,-1.317696192677655333e-08,4.964155723534682707e+00,3.069421791040814361e-04,3.051446361270692916e-04,5.635779233230412896e-04
8.242424242424242236e-09,3.022973992711918697e-06,-2.740257388381834250e-06,2.101909742842893447e+00,1.162197758709762564e-03,1.160730165246646019e-03,1.041261288044752686e-03,-1.151041961065323745e-06,-4.329540933105224572e-08,5.035277575693538843e+00,3.084706857002415207e-04,3.066489770872730383e-04,5.677449169602395273e-04
8.363636363636363932e-09,3.029286597461853112e-06,-2.743973940742231915e-06,2.137561534434607946e+00,1.164313374265606724e-03,1.162832540084992499e-03,1.041388931780482495e-03,-1.117927394927390303e-06,-5.584857025578021455e-08,5.106399303006585733e+00,3.099708348346203943e-04,3.081010667700131533e-04,5.718700332443579348e-04
8.484848484848483973e-09,3.033441984126954444e-06,-2.746243695925778069e-06,2.173231672632412792e+00,1.166419042513422823e-03,1.164918379258150088e-03,1.041514262687474532e-03,-1.088561717728868658e-06,-6.617852528452307595e-08,5.177520880126432523e+00,3.114498550679636922e-04,3.095153532190042371e-04,5.759287638509905626e-04
8.606060606060605669e-09,3.026971806771603809e-06,-2.746941076786945533e-06,2.208919441001727435e+00,1.168507850147756065e-03,1.166983907991114280e-03,1.041640435619595661e-03,-1.083108254357603263e-06,-7.513422539551435707e-08,5.248642344277924643e+00,3.128901698013119214e-04,3.108822687821757792e-04,5.799968155638875232e-04
8.727272727272727365e-09,3.020149005403698330e-06,-2.745514730712721134e-06,2.244624158688938831e+00,1.170582874408972185e-03,1.169035447227284412e-03,1.041767546338859219e-03,-1.078558166518079876e-06,-7.994165047410415622e-08,5.319763739227470367e+00,3.143006909004551156e-04,3.122201617872961141e-04,5.840828157385484151e-04
8.848484848484847407e-09,3.008776191127559377e-06,-2.743174365571640431e-06,2.280345176958391118e+00,1.172643007834085717e-03,1.171075408963238862e-03,1.041895841169569476e-03,-1.086398874674479874e-06,-8.212743906331823649e-08,5.390885057700041116e+00,3.156731758020326381e-04,3.135335909476049863e-04,5.881763648233040952e-04
8.969696969696969103e-09,2.990206622470804061e-06,-2.739433842481919528e-06,2.316081881467119796e+00,1.174690916752450147e-03,1.173102630195578967e-03,1.042025154510917758e-03,-1.113019211706598795e-06,-8.143681804145444571e-08,5.462006325762387426e+00,3.170158758863206392e-04,3.148199741769435226e-04,5.923013773492700421e-04
9.090909090909090799e-09,2.970462832865112483e-06,-2.740382297574919483e-06,2.351833687419592422e+00,1.176732221921843527e-03,1.175122156016647967e-03,1.042154999125166929e-03,-1.142130997460177900e-06,-9.257320865324691454e-08,5.533127555881317328e+00,3.183434739022210792e-04,3.160907590761542459e-04,5.964468510188930929e-04
